Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,16,2747,2062,1857,159,525,39,160,498,15,53
C:\Users\Julian\Documents\GitHub\nordwind-tool\Coding\Hauptprogramm,16,2747,2062,1857,159,525,39,160,498,15,53
